Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Tue, Apr 2",Low Impact Expected,,,,,,
"Tue, Apr 2",All Day,USD,Low Impact Expected,Total Vehicle Sales,15.3M,15.3M,15.4M
"Tue, Apr 2",12:20pm,CAD,Medium Impact Expected,Gov Council Member Murray Speaks,,,
"Tue, Apr 2",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.4%,1.1%,
"Tue, Apr 2",7:30pm,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
"Tue, Apr 2",8:00pm,AUD,Medium Impact Expected,HIA New Home Sales m/m,-5.3%,4.2%,
"Tue, Apr 2",8:30pm,AUD,High Impact Expected,Goods Trade Balance,-0.18B,-1.00B,-1.22B
"Tue, Apr 2",8:59pm,CNY,Low Impact Expected,Non-Manufacturing PMI,55.6,54.5,
"Tue, Apr 2",9:45pm,CNY,Low Impact Expected,Caixin Services PMI,54.3,52.1,
"Wed, Apr 3",4:30am,GBP,High Impact Expected,Construction PMI,47.2,47.7,46.8
"Wed, Apr 3",4:30am,GBP,Medium Impact Expected,BOE Credit Conditions Survey,,,
"Wed, Apr 3",4:32am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-8.6B,-7.4B,-7.9B
"Wed, Apr 3",5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.7%,1.6%,1.8%
"Wed, Apr 3",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,158K,203K,237K
"Wed, Apr 3",10:00am,USD,High Impact Expected,ISM Services PMI,54.4,55.9,56.0
"Wed, Apr 3",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,2.7M,1.8M,3.3M
"Wed, Apr 3",5:00pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
"Wed, Apr 3",6:30pm,AUD,Low Impact Expected,AIG Services Index,49.6,48.5,
"Wed, Apr 3",All Day,CNY,Non-Economic,Bank Holiday,,,
"Wed, Apr 3",8:30pm,AUD,High Impact Expected,Building Approvals m/m,3.1%,2.4%,-2.0%
"Wed, Apr 3",8:30pm,AUD,High Impact Expected,Retail Sales m/m,1.3%,0.3%,1.2%
"Thu, Apr 4",12:40am,JPY,High Impact Expected,Monetary Policy Statement,,,
"Thu, Apr 4",12:40am,JPY,High Impact Expected,Overnight Call Rate,<0.10%,<0.10%,<0.10%
"Thu, Apr 4",3:15am,EUR,Medium Impact Expected,Spanish Services PMI,45.3,44.3,44.7
"Thu, Apr 4",3:34am,JPY,High Impact Expected,BOJ Press Conference,,,
"Thu, Apr 4",3:45am,EUR,Medium Impact Expected,Italian Services PMI,45.5,43.4,43.6
"Thu, Apr 4",3:50am,EUR,Low Impact Expected,French Final Services PMI,41.3,41.9,41.9
