Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Aug 2",Medium Impact Expected,,,,,,
"Fri, Aug 2",,USD,High Impact Expected,Unemployment Rate,7.4%,7.5%,7.6%
"Fri, Aug 2",,USD,Medium Impact Expected,Average Hourly Earnings m/m,-0.1%,0.2%,0.4%
"Fri, Aug 2",,USD,Medium Impact Expected,Core PCE Price Index m/m,0.2%,0.1%,0.1%
"Fri, Aug 2",,USD,Low Impact Expected,Personal Income m/m,0.3%,0.5%,0.4%
"Fri, Aug 2",,USD,Low Impact Expected,Personal Spending m/m,0.5%,0.5%,0.2%
"Fri, Aug 2",10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.5%,2.3%,3.0%
"Fri, Aug 2",12:15pm,USD,High Impact Expected,FOMC Member Bullard Speaks,,,
"Fri, Aug 2",9:00pm,CNY,Medium Impact Expected,Non-Manufacturing PMI,54.1,53.9,
"Sun, Aug 4",All Day,AUD,Non-Economic,Bank Holiday,,,
"Sun, Aug 4",7:30pm,AUD,Low Impact Expected,AIG Services Index,39.4,41.5,
"Sun, Aug 4",8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.5%,0.0%,
"Sun, Aug 4",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.6%,-3.7%,
"Sun, Aug 4",9:30pm,AUD,High Impact Expected,Retail Sales m/m,0.0%,0.4%,0.2%
"Sun, Aug 4",9:45pm,CNY,Medium Impact Expected,Caixin Services PMI,51.3,51.3,
"Mon, Aug 5",3:15am,EUR,Medium Impact Expected,Spanish Services PMI,48.5,48.4,47.8
"Mon, Aug 5",3:45am,EUR,Medium Impact Expected,Italian Services PMI,48.7,46.6,45.8
"Mon, Aug 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,48.6,48.3,48.3
"Mon, Aug 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,51.3,52.5,52.5
"Mon, Aug 5",4:00am,EUR,Low Impact Expected,Final Services PMI,49.8,49.6,49.6
"Mon, Aug 5",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-4.9,9.8,-12.6
"Mon, Aug 5",4:30am,GBP,High Impact Expected,Final Services PMI,60.2,57.4,56.9
"Mon, Aug 5",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-0.5%,-0.6%,1.1%
"Mon, Aug 5",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Aug 5",10:00am,USD,High Impact Expected,ISM Services PMI,56.0,53.2,52.2
"Mon, Aug 5",2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
"Mon, Aug 5",7:01pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,2.2%,1.4%,
"Mon, Aug 5",9:30pm,AUD,High Impact Expected,Goods Trade Balance,0.60B,0.81B,0.51B
"Mon, Aug 5",9:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-1.1%,-1.6%,
"Mon, Aug 5",9:30pm,AUD,Medium Impact Expected,HPI q/q,2.4%,1.3%,0.8%
"Tue, Aug 6",12:30am,AUD,High Impact Expected,Cash Rate,2.50%,2.50%,2.75%
"Tue, Aug 6",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Aug 6",1:00am,JPY,Low Impact Expected,Leading Indicators,107.0%,108.0%,110.7%
