Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Sep 4",Medium Impact Expected,,,,,,
"Mon, Sep 4",All Day,USD,Non-Economic,Bank Holiday,,,
"Mon, Sep 4",Day 2,All,Medium Impact Expected,BRICS Summit,,,
"Mon, Sep 4",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,1.3%,0.9%,
"Mon, Sep 4",7:30pm,AUD,Low Impact Expected,AIG Services Index,53.0,56.4,
"Mon, Sep 4",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.8%,-0.8%,
"Mon, Sep 4",9:30pm,AUD,Medium Impact Expected,Current Account,-9.6B,-7.9B,-4.8B
"Mon, Sep 4",9:45pm,CNY,Low Impact Expected,Caixin Services PMI,52.7,51.8,51.5
"Mon, Sep 4",11:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.01|4.0,0.07|4.2,
"Tue, Sep 5",12:30am,AUD,High Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Tue, Sep 5",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Sep 5",1:45am,CHF,Low Impact Expected,GDP q/q,0.3%,0.5%,0.1%
"Tue, Sep 5",3:15am,CHF,Medium Impact Expected,CPI m/m,0.0%,0.0%,-0.3%
"Tue, Sep 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.0,56.9,57.6
"Tue, Sep 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,55.1,55.5,56.3
"Tue, Sep 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,54.9,55.5,55.5
"Tue, Sep 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,53.5,53.4,53.4
"Tue, Sep 5",4:00am,EUR,Low Impact Expected,Final Services PMI,54.7,54.9,54.9
"Tue, Sep 5",4:30am,GBP,High Impact Expected,Final Services PMI,53.2,53.5,53.8
"Tue, Sep 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,-0.3%,-0.2%,0.6%
"Tue, Sep 5",5:10am,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,
"Tue, Sep 5",8:00am,USD,Medium Impact Expected,FOMC Member Brainard Speaks,,,
"Tue, Sep 5",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-3.3%,-3.3%,3.2%
"Tue, Sep 5",Day 3,All,Medium Impact Expected,BRICS Summit,,,
"Tue, Sep 5",10:28am,NZD,Medium Impact Expected,GDT Price Index,0.3%,-0.4%,
"Tue, Sep 5",1:10pm,USD,Medium Impact Expected,FOMC Member Kashkari Speaks,,,
"Tue, Sep 5",6:05pm,USD,Medium Impact Expected,FOMC Member Kaplan Speaks,,,
"Tue, Sep 5",8:00pm,JPY,Low Impact Expected,Average Cash Earnings y/y,-0.3%,0.5%,0.4%
"Tue, Sep 5",9:30pm,AUD,High Impact Expected,GDP q/q,0.8%,0.8%,0.3%
"Wed, Sep 6",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-0.7%,0.2%,0.9%
"Wed, Sep 6",4:00am,EUR,Low Impact Expected,Italian Retail Sales m/m,-0.2%,-0.2%,0.6%
"Wed, Sep 6",4:10am,EUR,Low Impact Expected,Retail PMI,50.8,51.0,
