Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Apr 3",Low Impact Expected,,,,,,
"Mon, Apr 3",6:00pm,NZD,Medium Impact Expected,NZIER Business Confidence,17,28,
"Mon, Apr 3",7:50pm,JPY,Low Impact Expected,Monetary Base y/y,20.3%,23.2%,21.4%
"Mon, Apr 3",All Day,CNY,Non-Economic,Bank Holiday,,,
"Mon, Apr 3",9:30pm,AUD,High Impact Expected,Goods Trade Balance,3.57B,1.75B,1.50B
"Mon, Apr 3",11:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.06|4.0,0.08|3.7,
"Tue, Apr 4",12:30am,AUD,High Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Tue, Apr 4",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Apr 4",1:00am,JPY,Low Impact Expected,BOJ Core CPI y/y,0.1%,0.2%,0.2%
"Tue, Apr 4",3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-48.6K,-41.2K,-9.4K
"Tue, Apr 4",4:30am,GBP,High Impact Expected,Construction PMI,52.2,52.5,52.5
"Tue, Apr 4",4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
"Tue, Apr 4",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.7%,0.5%,0.1%
"Tue, Apr 4",5:15am,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,
"Tue, Apr 4",5:38am,GBP,Low Impact Expected,10-y Bond Auction,1.13|2.0,1.31|2.2,
"Tue, Apr 4",8:30am,CAD,High Impact Expected,Trade Balance,-1.0B,0.7B,0.4B
"Tue, Apr 4",8:30am,USD,Medium Impact Expected,Trade Balance,-43.6B,-46.0B,-48.2B
"Tue, Apr 4",9:30am,EUR,High Impact Expected,ECB President Draghi Speaks,,,
"Tue, Apr 4",10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.0%,1.0%,1.5%
"Tue, Apr 4",10:00am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,51.7,53.2,55.3
"Tue, Apr 4",10:04am,NZD,High Impact Expected,GDT Price Index,1.6%,1.7%,
"Tue, Apr 4",4:30pm,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
"Tue, Apr 4",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-0.8%,-1.0%,
"Tue, Apr 4",7:30pm,AUD,Low Impact Expected,AIG Services Index,51.7,49.0,
"Tue, Apr 4",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.4%,2.0%,
"Wed, Apr 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,57.4,57.2,57.7
"Wed, Apr 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,52.9,54.3,54.1
"Wed, Apr 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,57.5,58.5,58.5
"Wed, Apr 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,55.6,55.6,55.6
"Wed, Apr 5",4:00am,EUR,Low Impact Expected,Final Services PMI,56.0,56.5,56.5
"Wed, Apr 5",4:30am,GBP,High Impact Expected,Final Services PMI,55.0,53.5,53.3
"Wed, Apr 5",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,263K,184K,245K
"Wed, Apr 5",8:30am,GBP,Medium Impact Expected,MPC Member Vlieghe Speaks,,,
"Wed, Apr 5",9:45am,USD,Low Impact Expected,Final Services PMI,52.8,53.1,52.9
"Wed, Apr 5",10:00am,USD,High Impact Expected,ISM Services PMI,55.2,57.0,57.6
"Wed, Apr 5",10:30am,USD,High Impact Expected,Crude Oil Inventories,1.6M,-0.1M,0.9M
"Wed, Apr 5",2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Wed, Apr 5",6:40pm,AUD,Medium Impact Expected,RBA Deputy Gov Debelle Speaks,,,
"Wed, Apr 5",9:45pm,CNY,Low Impact Expected,Caixin Services PMI,52.2,53.2,52.6
"Thu, Apr 6",1:02am,JPY,Low Impact Expected,Consumer Confidence,43.9,43.5,43.1
"Thu, Apr 6",2:00am,EUR,Medium Impact Expected,German Factory Orders m/m,3.4%,3.5%,-6.8%
"Thu, Apr 6",3:00am,EUR,High Impact Expected,ECB President Draghi Speaks,,,
"Thu, Apr 6",3:15am,CHF,Medium Impact Expected,CPI m/m,0.2%,0.2%,0.5%
"Thu, Apr 6",4:10am,EUR,Low Impact Expected,Retail PMI,49.5,49.9,
"Thu, Apr 6",4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-10.2B,-9.5B,-11.2B
"Thu, Apr 6",4:48am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.61|1.6,1.94|1.3,
"Thu, Apr 6",4:58am,EUR,Low Impact Expected,French 10-y Bond Auction,0.97|2.0,0.91|2.8,
