Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Dec 4",Low Impact Expected,,,,,,
"Mon, Dec 4",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-0.1%,-0.3%,1.7%
"Mon, Dec 4",5:30pm,AUD,Low Impact Expected,AIG Services Index,51.7,51.4,
"Mon, Dec 4",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.9%,-0.3%,
"Mon, Dec 4",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,0.6%,-1.0%,
"Mon, Dec 4",7:15pm,NZD,High Impact Expected,RBNZ Gov Spencer Speaks,,,
"Mon, Dec 4",7:30pm,AUD,High Impact Expected,Current Account,-9.1B,-8.8B,-9.7B
"Mon, Dec 4",7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.5%,0.3%,0.1%
"Mon, Dec 4",8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,51.9,51.5,51.2
"Mon, Dec 4",10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
"Mon, Dec 4",10:30pm,AUD,Medium Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Mon, Dec 4",10:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.06|3.7,0.06|4.6,
"Tue, Dec 5",12:00am,JPY,Low Impact Expected,BOJ Core CPI y/y,0.5%,0.5%,0.5%
"Tue, Dec 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,54.4,55.2,54.6
"Tue, Dec 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,54.7,53.4,52.1
"Tue, Dec 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,60.4,60.2,60.2
"Tue, Dec 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,54.3,54.9,54.9
"Tue, Dec 5",4:00am,EUR,Low Impact Expected,Final Services PMI,56.2,56.2,56.2
"Tue, Dec 5",4:30am,GBP,High Impact Expected,Final Services PMI,53.8,55.2,55.6
"Tue, Dec 5",4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
"Tue, Dec 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,-1.1%,-0.6%,0.8%
"Tue, Dec 5",All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
"Tue, Dec 5",8:30am,CAD,High Impact Expected,Trade Balance,-1.5B,-2.3B,-3.4B
"Tue, Dec 5",8:30am,USD,Medium Impact Expected,Trade Balance,-48.7B,-46.2B,-44.9B
"Tue, Dec 5",9:40am,NZD,Medium Impact Expected,GDT Price Index,0.4%,-3.4%,
"Tue, Dec 5",9:45am,USD,Low Impact Expected,Final Services PMI,54.5,55.4,54.7
"Tue, Dec 5",10:00am,USD,High Impact Expected,ISM Services PMI,57.4,59.2,60.1
"Tue, Dec 5",7:30pm,AUD,High Impact Expected,GDP q/q,0.6%,0.7%,0.9%
"Wed, Dec 6",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,0.5%,-0.2%,1.2%
"Wed, Dec 6",3:15am,CHF,Low Impact Expected,CPI m/m,-0.1%,0.0%,0.1%
"Wed, Dec 6",4:10am,EUR,Low Impact Expected,Retail PMI,52.4,51.1,
"Wed, Dec 6",5:42am,EUR,Low Impact Expected,German 10-y Bond Auction,0.30|1.1,0.36|1.2,
"Wed, Dec 6",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,190K,189K,235K
"Wed, Dec 6",8:30am,CAD,Medium Impact Expected,Labor Productivity q/q,-0.6%,-0.4%,-0.2%
"Wed, Dec 6",8:30am,USD,Low Impact Expected,Revised Nonfarm Productivity q/q,3.0%,3.3%,3.0%
"Wed, Dec 6",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,-0.2%,0.2%,0.5%
"Wed, Dec 6",9:59am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,51.9,54.6,53.6
"Wed, Dec 6",10:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Dec 6",10:00am,CAD,High Impact Expected,Overnight Rate,1.00%,1.00%,1.00%
"Wed, Dec 6",10:30am,USD,High Impact Expected,Crude Oil Inventories,-5.6M,-3.2M,-3.4M
"Wed, Dec 6",5:30pm,AUD,Low Impact Expected,AIG Construction Index,57.5,53.2,
"Wed, Dec 6",7:30pm,AUD,High Impact Expected,Goods Trade Balance,0.11B,1.37B,1.60B
"Wed, Dec 6",7:30pm,AUD,Low Impact Expected,RBA Bulletin,,,
"Wed, Dec 6",10:45pm,JPY,Low Impact Expected,30-y Bond Auction,0.85|4.4,0.79|3.4,
"Thu, Dec 7",12:00am,JPY,Low Impact Expected,Leading Indicators,106.1%,106.2%,106.4%
"Thu, Dec 7",1:45am,CHF,Low Impact Expected,Unemployment Rate,3.0%,3.1%,3.1%
"Thu, Dec 7",2:00am,EUR,Low Impact Expected,German Industrial Production m/m,-1.4%,0.9%,-0.9%
"Thu, Dec 7",2:45am,EUR,Low Impact Expected,French Trade Balance,-5.0B,-4.7B,-4.6B
"Thu, Dec 7",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,738B,742B,
"Thu, Dec 7",3:30am,GBP,Medium Impact Expected,Halifax HPI m/m,0.5%,0.2%,0.3%
"Thu, Dec 7",4:00am,EUR,Low Impact Expected,Italian Quarterly Unemployment Rate,11.2%,11.2%,11.2%
"Thu, Dec 7",4:47am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.41|1.5,1.54|1.5,
"Thu, Dec 7",5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.6%,0.6%,0.6%
"Thu, Dec 7",5:03am,EUR,Low Impact Expected,French 10-y Bond Auction,0.36|1.9,0.76|1.6,
"Thu, Dec 7",5:37am,GBP,Low Impact Expected,30-y Bond Auction,1.81|1.7,1.87|2.0,
"Thu, Dec 7",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,30.1%,-3.0%,
"Thu, Dec 7",8:30am,CAD,Medium Impact Expected,Building Permits m/m,3.5%,1.7%,4.9%
"Thu, Dec 7",8:30am,USD,High Impact Expected,Unemployment Claims,236K,239K,238K
"Thu, Dec 7",10:00am,CAD,Medium Impact Expected,Ivey PMI,63.0,62.7,63.8
"Thu, Dec 7",10:30am,USD,Low Impact Expected,Natural Gas Storage,2B,-5B,-33B
"Thu, Dec 7",11:00am,EUR,High Impact Expected,ECB President Draghi Speaks,,,
"Thu, Dec 7",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,20.5B,17.4B,19.2B
"Thu, Dec 7",4:45pm,NZD,Low Impact Expected,Manufacturing Sales q/q,0.5%,3.4%,
"Thu, Dec 7",6:50pm,JPY,Medium Impact Expected,Final GDP q/q,0.6%,0.4%,0.3%
"Thu, Dec 7",6:50pm,JPY,Low Impact Expected,Bank Lending y/y,2.7%,2.8%,2.8%
"Thu, Dec 7",6:50pm,JPY,Low Impact Expected,Current Account,2.44T,1.93T,1.84T
"Thu, Dec 7",6:50pm,JPY,Low Impact Expected,Final GDP Price Index y/y,0.1%,0.1%,0.1%
"Thu, Dec 7",7:00pm,JPY,Low Impact Expected,Average Cash Earnings y/y,0.6%,0.8%,0.9%
"Thu, Dec 7",7:30pm,AUD,Medium Impact Expected,Home Loans m/m,-0.6%,-2.2%,-2.5%
"Thu, Dec 7",10:13pm,CNY,Medium Impact Expected,Trade Balance,264B,238B,254B
"Thu, Dec 7",10:36pm,CNY,Low Impact Expected,USD-Denominated Trade Balance,40.2B,34.9B,38.2B
"Fri, Dec 8",12:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,55.1,52.1,52.2
"Fri, Dec 8",2:00am,EUR,Low Impact Expected,German Trade Balance,19.9B,22.0B,21.9B
"Fri, Dec 8",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Fri, Dec 8",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-77.1B,-76.3B,
"Fri, Dec 8",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,1.9%,-0.1%,0.8%
"Fri, Dec 8",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.1%,0.1%,0.7%
"Fri, Dec 8",4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-10.8B,-11.5B,-10.5B
"Fri, Dec 8",4:30am,GBP,Low Impact Expected,Construction Output m/m,-1.7%,0.2%,-1.6%
"Fri, Dec 8",4:30am,GBP,Low Impact Expected,Consumer Inflation Expectations,2.9%,2.8%,
"Fri, Dec 8",4:30am,GBP,Low Impact Expected,Industrial Production m/m,0.0%,0.0%,0.7%
"Fri, Dec 8",7:06am,GBP,Low Impact Expected,NIESR GDP Estimate,0.5%,0.5%,
"Fri, Dec 8",8:13am,CAD,Low Impact Expected,Housing Starts,252K,214K,223K
"Fri, Dec 8",8:30am,CAD,Low Impact Expected,Capacity Utilization Rate,85.0%,84.8%,84.3%
"Fri, Dec 8",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.2%,0.3%,-0.1%
