Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Sep 2",Medium Impact Expected,,,,,,
Low Impact Expected,Revised Unit Labor Costs q/q,,,,,,
"Thu, Sep 2",9:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
"Thu, Sep 2",10:00am,USD,High Impact Expected,Pending Home Sales m/m,5.2%,-1.3%,-2.8%
"Thu, Sep 2",10:00am,USD,Medium Impact Expected,Factory Orders m/m,0.1%,0.4%,-0.6%
"Thu, Sep 2",10:30am,USD,Low Impact Expected,Natural Gas Storage,54B,56B,40B
"Thu, Sep 2",7:29pm,AUD,Medium Impact Expected,AIG Services Index,47.5,46.6,
"Thu, Sep 2",7:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-1.7%,-6.6%,-11.5%
"Thu, Sep 2",8:45pm,GBP,Medium Impact Expected,MPC Member Tucker Speaks,,,
"Thu, Sep 2",9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,60.1,60.1,
"Fri, Sep 3",3:15am,CHF,Medium Impact Expected,CPI m/m,0.0%,0.1%,-0.7%
"Fri, Sep 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,49.2,51.3,
"Fri, Sep 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,51.4,50.1,49.6
"Fri, Sep 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,60.4,59.9,59.9
"Fri, Sep 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,57.2,58.5,58.5
"Fri, Sep 3",4:00am,EUR,Low Impact Expected,Final Services PMI,55.9,55.6,55.6
"Fri, Sep 3",4:30am,GBP,High Impact Expected,Final Services PMI,51.3,53.0,53.1
"Fri, Sep 3",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.1%,0.3%,0.2%
"Fri, Sep 3",8:30am,USD,High Impact Expected,Non-Farm Employment Change,-54K,-101K,-54K
"Fri, Sep 3",8:30am,USD,High Impact Expected,Unemployment Rate,9.6%,9.6%,9.5%
"Fri, Sep 3",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.3%,0.1%,0.2%
"Fri, Sep 3",10:00am,USD,High Impact Expected,ISM Services PMI,51.5,53.6,54.3
"Sat, Sep 4",7:15am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Sun, Sep 5",2:00pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Sun, Sep 5",8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.2%,0.1%,
"Sun, Sep 5",9:30pm,AUD,High Impact Expected,ANZ Job Advertisements m/m,2.6%,1.4%,
"Mon, Sep 6",3:00am,CHF,High Impact Expected,Foreign Currency Reserves,218B,220B,
"Mon, Sep 6",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,7.6,8.7,8.5
"Mon, Sep 6",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Sep 6",All Day,USD,Non-Economic,Bank Holiday,,,
"Mon, Sep 6",3:10pm,USD,Low Impact Expected,President Obama Speaks,,,
"Mon, Sep 6",7:00pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,1.0%,0.5%,
"Mon, Sep 6",7:28pm,AUD,Low Impact Expected,AIG Construction Index,43.2,43.3,
"Mon, Sep 6",11:39pm,JPY,Medium Impact Expected,Monetary Policy Statement,,,
"Mon, Sep 6",11:39pm,JPY,Medium Impact Expected,Overnight Call Rate,0.10%,0.10%,0.10%
"Tue, Sep 7",12:30am,AUD,High Impact Expected,Cash Rate,4.50%,4.50%,4.50%
"Tue, Sep 7",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Sep 7",1:00am,JPY,Low Impact Expected,Leading Indicators,98.2%,98.3%,99.0%
"Tue, Sep 7",1:45am,CHF,Low Impact Expected,Unemployment Rate,3.8%,3.7%,3.8%
"Tue, Sep 7",3:13am,JPY,High Impact Expected,BOJ Press Conference,,,
"Tue, Sep 7",All Day,EUR,Medium Impact Expected,ECOFIN Meetings,,,
"Tue, Sep 7",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-2.2%,0.6%,3.6%
"Tue, Sep 7",7:00pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.7%,1.5%,
"Tue, Sep 7",7:50pm,JPY,Medium Impact Expected,Core Machinery Orders m/m,8.8%,1.9%,1.6%
"Tue, Sep 7",7:50pm,JPY,Low Impact Expected,Bank Lending y/y,-1.9%,-1.8%,
"Tue, Sep 7",7:50pm,JPY,Low Impact Expected,Current Account,1.46T,1.38T,1.36T
"Tue, Sep 7",7:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,2.8%,2.6%,2.7%
"Tue, Sep 7",9:30pm,AUD,High Impact Expected,Home Loans m/m,1.7%,1.1%,-3.2%
"Tue, Sep 7",11:45pm,JPY,Low Impact Expected,30-y Bond Auction,1.99|4.2,1.95|4.1,
"Wed, Sep 8",1:00am,JPY,Medium Impact Expected,BOJ Monthly Report,,,
"Wed, Sep 8",1:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,45.1,50.3,49.8
"Wed, Sep 8",2:00am,EUR,Low Impact Expected,German Trade Balance,12.7B,12.8B,12.4B
"Wed, Sep 8",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-93.1B,-61.7B,
"Wed, Sep 8",2:45am,EUR,Low Impact Expected,French Trade Balance,-4.2B,-4.1B,-3.7B
"Wed, Sep 8",3:00am,GBP,High Impact Expected,Halifax HPI m/m,0.2%,-0.3%,0.7%
"Wed, Sep 8",3:45am,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
"Wed, Sep 8",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.3%,0.3%,0.3%
"Wed, Sep 8",4:30am,GBP,Low Impact Expected,Industrial Production m/m,0.3%,0.4%,-0.5%
"Wed, Sep 8",6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,0.1%,1.1%,-0.6%
"Wed, Sep 8",8:30am,CAD,High Impact Expected,Building Permits m/m,-3.3%,-4.2%,6.9%
"Wed, Sep 8",9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
