Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Sat, Apr 3",Non-Economic,,,,,,
"Sat, Apr 3",12:00pm,AUD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Apr 4",All Day,NZD,Non-Economic,Bank Holiday,,,
"Sun, Apr 4",All Day,AUD,Non-Economic,Bank Holiday,,,
"Sun, Apr 4",All Day,CNY,Non-Economic,Bank Holiday,,,
"Mon, Apr 5",All Day,CHF,Non-Economic,Bank Holiday,,,
"Mon, Apr 5",All Day,EUR,Non-Economic,French Bank Holiday,,,
"Mon, Apr 5",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Mon, Apr 5",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Mon, Apr 5",All Day,GBP,Non-Economic,Bank Holiday,,,
"Mon, Apr 5",10:00am,USD,High Impact Expected,ISM Services PMI,55.4,54.1,53.0
"Mon, Apr 5",10:00am,USD,High Impact Expected,Pending Home Sales m/m,8.2%,-0.5%,-7.8%
"Mon, Apr 5",6:00pm,NZD,High Impact Expected,NZIER Business Confidence,22,31,
"Mon, Apr 5",9:30pm,AUD,High Impact Expected,ANZ Job Advertisements m/m,1.8%,19.1%,
"Mon, Apr 5",11:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.8%,3.8%,
"Mon, Apr 5",11:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.40|2.5,1.33|3.4,
"Tue, Apr 6",12:30am,AUD,High Impact Expected,Cash Rate,4.25%,4.25%,4.00%
"Tue, Apr 6",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Apr 6",1:00am,JPY,Low Impact Expected,Leading Indicators,97.9%,97.9%,96.9%
"Tue, Apr 6",3:00am,CHF,High Impact Expected,Foreign Currency Reserves,125B,109B,
"Tue, Apr 6",3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,36.0K,82.1K,
"Tue, Apr 6",3:15am,CHF,Medium Impact Expected,CPI m/m,0.1%,0.1%,0.1%
"Tue, Apr 6",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,2.5,-5.9,-7.5
"Tue, Apr 6",4:30am,GBP,Medium Impact Expected,Construction PMI,53.1,48.8,48.5
"Tue, Apr 6",4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-4.0B,-2.9B,-5.1B
"Tue, Apr 6",10:00am,USD,Low Impact Expected,JOLTS Job Openings,2.72M,2.85M,
"Tue, Apr 6",10:30am,NZD,Low Impact Expected,GDT Price Index,22.6%,0.1%,
"Tue, Apr 6",2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Tue, Apr 6",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.2%,1.7%,
"Tue, Apr 6",7:30pm,AUD,Medium Impact Expected,AIG Services Index,48.4,48.3,
"Tue, Apr 6",11:03pm,JPY,Medium Impact Expected,Monetary Policy Statement,,,
"Tue, Apr 6",11:03pm,JPY,Medium Impact Expected,Overnight Call Rate,0.10%,0.10%,0.10%
"Wed, Apr 7",3:15am,CHF,High Impact Expected,Retail Sales y/y,3.1%,3.8%,3.7%
"Wed, Apr 7",3:15am,EUR,Low Impact Expected,Spanish Services PMI,51.3,47.1,
"Wed, Apr 7",3:22am,JPY,High Impact Expected,BOJ Press Conference,,,
"Wed, Apr 7",3:45am,EUR,Low Impact Expected,Italian Services PMI,55.3,52.3,50.8
