Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Dec 2",Medium Impact Expected,,,,,,
"Thu, Dec 2",4:30am,GBP,Medium Impact Expected,Construction PMI,51.8,51.1,51.6
"Thu, Dec 2",5:00am,EUR,Low Impact Expected,PPI m/m,0.4%,0.4%,0.3%
"Thu, Dec 2",5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.4%,0.4%,0.4%
"Thu, Dec 2",7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
"Thu, Dec 2",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Dec 2",8:30am,USD,High Impact Expected,Unemployment Claims,436K,425K,410K
"Thu, Dec 2",10:00am,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
"Thu, Dec 2",10:00am,USD,High Impact Expected,Pending Home Sales m/m,10.4%,-0.7%,-1.8%
"Thu, Dec 2",10:30am,USD,Low Impact Expected,Natural Gas Storage,-23B,-26B,-6B
"Thu, Dec 2",12:30pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
"Thu, Dec 2",2:00pm,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
"Thu, Dec 2",5:30pm,AUD,Medium Impact Expected,AIG Services Index,46.2,50.7,
"Thu, Dec 2",8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,53.2,60.5,
"Fri, Dec 3",2:30am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Fri, Dec 3",3:15am,CHF,Medium Impact Expected,CPI m/m,0.2%,0.1%,0.5%
"Fri, Dec 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,48.3,46.5,
"Fri, Dec 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,54.4,51.4,51.0
"Fri, Dec 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,55.0,55.7,55.7
"Fri, Dec 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,59.2,58.6,58.6
"Fri, Dec 3",4:00am,EUR,Low Impact Expected,Final Services PMI,55.4,55.2,55.2
"Fri, Dec 3",4:30am,GBP,High Impact Expected,Final Services PMI,53.0,53.2,53.2
"Fri, Dec 3",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.5%,0.4%,-0.1%
"Fri, Dec 3",7:00am,CAD,High Impact Expected,Employment Change,15.2K,20.2K,3.0K
"Fri, Dec 3",7:00am,CAD,High Impact Expected,Unemployment Rate,7.6%,7.9%,7.9%
"Fri, Dec 3",8:30am,USD,High Impact Expected,Non-Farm Employment Change,39K,143K,172K
"Fri, Dec 3",8:30am,USD,High Impact Expected,Unemployment Rate,9.8%,9.6%,9.6%
"Fri, Dec 3",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.0%,0.2%,0.3%
"Fri, Dec 3",10:00am,USD,High Impact Expected,ISM Services PMI,55.0,54.7,54.3
