Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Tue, Apr 3",High Impact Expected,,,,,,
"Tue, Apr 3",4:30am,GBP,High Impact Expected,Final Manufacturing PMI,55.1,54.8,55.0
"Tue, Apr 3",10:05am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,52.6,55.2,55.6
"Tue, Apr 3",10:33am,NZD,Medium Impact Expected,GDT Price Index,-0.6%,-1.2%,
"Tue, Apr 3",All Day,USD,Low Impact Expected,Total Vehicle Sales,17.5M,16.9M,17.1M
"Tue, Apr 3",All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.4M,16.9M,17.0M
"Tue, Apr 3",4:30pm,USD,Medium Impact Expected,FOMC Member Brainard Speaks,,,
"Tue, Apr 3",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.0%,-0.8%,
"Tue, Apr 3",9:30pm,AUD,High Impact Expected,Retail Sales m/m,0.6%,0.3%,0.2%
"Tue, Apr 3",9:30pm,AUD,Medium Impact Expected,Building Approvals m/m,-6.2%,-5.1%,17.2%
"Tue, Apr 3",9:45pm,CNY,Medium Impact Expected,Caixin Services PMI,52.3,54.5,54.2
"Wed, Apr 4",4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,10.9%,11.0%,11.1%
"Wed, Apr 4",4:30am,GBP,High Impact Expected,Construction PMI,47.0,50.9,51.4
"Wed, Apr 4",5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,1.0%,1.1%,1.0%
"Wed, Apr 4",5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.4%,1.4%,1.1%
"Wed, Apr 4",5:00am,EUR,Low Impact Expected,Unemployment Rate,8.5%,8.5%,8.6%
"Wed, Apr 4",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,241K,208K,246K
"Wed, Apr 4",9:45am,USD,Low Impact Expected,Final Services PMI,54.0,54.3,54.1
"Wed, Apr 4",10:00am,USD,High Impact Expected,ISM Services PMI,58.8,59.0,59.5
"Wed, Apr 4",10:00am,USD,Low Impact Expected,Factory Orders m/m,1.2%,1.7%,-1.3%
"Wed, Apr 4",10:30am,USD,High Impact Expected,Crude Oil Inventories,-4.6M,1.4M,1.6M
"Wed, Apr 4",11:00am,USD,Medium Impact Expected,FOMC Member Mester Speaks,,,
"Wed, Apr 4",6:30pm,AUD,Low Impact Expected,AIG Services Index,56.9,54.0,
"Wed, Apr 4",All Day,CNY,Non-Economic,Bank Holiday,,,
