Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Dec 3",Low Impact Expected,,,,,,
"Mon, Dec 3",6:00pm,USD,High Impact Expected,Fed Chair Powell Speaks,,,
"Mon, Dec 3",6:00pm,USD,Medium Impact Expected,FOMC Member Brainard Speaks,,,
"Mon, Dec 3",6:50pm,JPY,Low Impact Expected,Monetary Base y/y,6.1%,5.7%,5.9%
"Mon, Dec 3",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,-0.5%,0.3%,0.1%
"Mon, Dec 3",7:30pm,AUD,Medium Impact Expected,Current Account,-10.7B,-10.2B,-12.1B
"Mon, Dec 3",10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
"Mon, Dec 3",10:30pm,AUD,Medium Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Mon, Dec 3",10:35pm,JPY,Low Impact Expected,10-y Bond Auction,0.07|3.8,0.14|4.3,
"Tue, Dec 4",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-87.0B,-87.1B,
"Tue, Dec 4",3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-1.8K,34.2K,52.2K
"Tue, Dec 4",3:15am,CHF,Low Impact Expected,CPI m/m,-0.3%,-0.1%,0.2%
"Tue, Dec 4",4:15am,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
"Tue, Dec 4",4:30am,GBP,Medium Impact Expected,Construction PMI,53.4,52.5,53.2
"Tue, Dec 4",5:00am,EUR,Low Impact Expected,PPI m/m,0.8%,0.5%,0.6%
"Tue, Dec 4",All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
"Tue, Dec 4",8:30am,CAD,Low Impact Expected,Labor Productivity q/q,0.3%,0.4%,0.7%
"Tue, Dec 4",9:35am,NZD,Low Impact Expected,GDT Price Index,2.2%,-3.5%,
"Tue, Dec 4",10:00am,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
"Tue, Dec 4",10:00am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,52.6,57.3,56.4
"Tue, Dec 4",1:00pm,GBP,Medium Impact Expected,MPC Member Vlieghe Speaks,,,
"Tue, Dec 4",4:30pm,AUD,Low Impact Expected,AIG Services Index,55.1,51.1,
"Tue, Dec 4",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.6%,-2.4%,
"Tue, Dec 4",7:30pm,AUD,High Impact Expected,GDP q/q,0.3%,0.6%,0.9%
"Tue, Dec 4",8:45pm,CNY,Low Impact Expected,Caixin Services PMI,53.8,50.7,50.8
"Wed, Dec 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,54.0,53.9,54.0
"Wed, Dec 5",3:30am,EUR,Medium Impact Expected,ECB President Draghi Speaks,,,
"Wed, Dec 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,50.3,49.2,49.2
"Wed, Dec 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,55.1,55.0,55.0
"Wed, Dec 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,53.3,53.3,53.3
"Wed, Dec 5",4:00am,EUR,Low Impact Expected,Final Services PMI,53.4,53.1,53.1
"Wed, Dec 5",All Day,All,Medium Impact Expected,OPEC-JMMC Meetings,,,
"Wed, Dec 5",4:30am,GBP,Medium Impact Expected,Final Services PMI,50.4,52.5,52.2
"Wed, Dec 5",4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
"Wed, Dec 5",4:41am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.46|1.9,1.61|1.6,
"Wed, Dec 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.3%,0.2%,-0.5%
"Wed, Dec 5",10:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Dec 5",10:00am,CAD,High Impact Expected,Overnight Rate,1.75%,1.75%,1.75%
"Wed, Dec 5",2:00pm,USD,Low Impact Expected,Beige Book,,,
"Wed, Dec 5",7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.3%,0.3%,0.1%
"Wed, Dec 5",7:30pm,AUD,Medium Impact Expected,Goods Trade Balance,2.32B,3.10B,2.94B
"Wed, Dec 5",8:15pm,USD,Medium Impact Expected,FOMC Member Quarles Speaks,,,
