Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Jan 5",High Impact Expected,German Prelim CPI m/m,,,,,
"Mon, Jan 5",3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-64.4K,-72.0K,-14.7K
"Mon, Jan 5",3:30am,CHF,Low Impact Expected,Manufacturing PMI,54.0,52.9,52.1
"Mon, Jan 5",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,0.9,-0.9,-2.5
"Mon, Jan 5",4:30am,GBP,High Impact Expected,Construction PMI,57.6,59.2,59.4
"Mon, Jan 5",8:00am,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
"Mon, Jan 5",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.9M,16.9M,17.2M
"Mon, Jan 5",6:50pm,JPY,Low Impact Expected,Monetary Base y/y,38.2%,34.3%,36.7%
"Mon, Jan 5",7:30pm,AUD,High Impact Expected,Goods Trade Balance,-0.93B,-1.59B,-0.88B
"Mon, Jan 5",8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,53.4,53.0,
"Mon, Jan 5",10:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.30|3.4,0.47|3.0,
"Tue, Jan 6",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Tue, Jan 6",3:15am,EUR,Medium Impact Expected,Spanish Services PMI,54.3,52.9,52.7
"Tue, Jan 6",3:45am,EUR,Medium Impact Expected,Italian Services PMI,49.4,51.4,51.8
"Tue, Jan 6",3:50am,EUR,Low Impact Expected,French Final Services PMI,50.6,49.8,49.8
"Tue, Jan 6",3:55am,EUR,Medium Impact Expected,German Final Services PMI,52.1,51.4,51.4
"Tue, Jan 6",4:00am,EUR,Low Impact Expected,Final Services PMI,51.6,51.9,51.9
"Tue, Jan 6",4:30am,GBP,High Impact Expected,Final Services PMI,55.8,58.9,58.6
"Tue, Jan 6",4:30am,GBP,Medium Impact Expected,BOE Credit Conditions Survey,,,
"Tue, Jan 6",5:35am,GBP,Low Impact Expected,10-y Bond Auction,1.62|1.6,2.21|1.5,
"Tue, Jan 6",8:30am,CAD,Medium Impact Expected,RMPI m/m,-5.8%,-4.6%,-4.2%
"Tue, Jan 6",8:30am,CAD,Low Impact Expected,IPPI m/m,-0.4%,-0.5%,-0.6%
"Tue, Jan 6",9:45am,USD,Low Impact Expected,Final Services PMI,53.3,53.8,53.6
"Tue, Jan 6",9:49am,NZD,High Impact Expected,GDT Price Index,3.6%,2.4%,
"Tue, Jan 6",10:00am,USD,High Impact Expected,ISM Services PMI,56.2,58.2,59.3
"Tue, Jan 6",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-0.7%,-0.3%,-0.7%
"Tue, Jan 6",5:20pm,AUD,Low Impact Expected,AIG Services Index,47.5,43.8,
"Tue, Jan 6",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-4.4%,-1.6%,
"Tue, Jan 6",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.7%,-1.9%,
"Wed, Jan 7",2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,1.0%,0.2%,2.0%
"Wed, Jan 7",3:00am,CHF,Medium Impact Expected,Foreign Currency Reserves,495B,463B,
"Wed, Jan 7",3:55am,EUR,Medium Impact Expected,German Unemployment Change,-27K,-6K,-16K
"Wed, Jan 7",4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,13.4%,13.3%,13.3%
"Wed, Jan 7",4:10am,EUR,Low Impact Expected,Retail PMI,47.6,48.9,
"Wed, Jan 7",5:00am,EUR,High Impact Expected,CPI Flash Estimate y/y,-0.2%,0.0%,0.3%
"Wed, Jan 7",5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.8%,0.6%,0.7%
"Wed, Jan 7",5:00am,EUR,Medium Impact Expected,Unemployment Rate,11.5%,11.5%,11.5%
"Wed, Jan 7",5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.0%,-0.2%,-0.2%
"Wed, Jan 7",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,241K,227K,227K
"Wed, Jan 7",8:30am,CAD,High Impact Expected,Trade Balance,-0.6B,-0.2B,-0.3B
"Wed, Jan 7",8:30am,USD,High Impact Expected,Trade Balance,-39.0B,-42.3B,-42.2B
"Wed, Jan 7",10:00am,CAD,High Impact Expected,Ivey PMI,55.4,52.3,56.9
"Wed, Jan 7",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-3.1M,0.9M,-1.8M
"Wed, Jan 7",2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Wed, Jan 7",6:30pm,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
"Wed, Jan 7",7:30pm,AUD,High Impact Expected,Building Approvals m/m,7.5%,-2.7%,11.5%
"Thu, Jan 8",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-2.4%,-0.6%,2.9%
"Thu, Jan 8",3:00am,GBP,Medium Impact Expected,Halifax HPI m/m,0.9%,0.3%,0.5%
"Thu, Jan 8",4:59am,EUR,Low Impact Expected,French 10-y Bond Auction,0.79|2.0,1.11|2.4,
"Thu, Jan 8",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.6%,0.3%,0.6%
"Thu, Jan 8",5:00am,EUR,Low Impact Expected,PPI m/m,-0.3%,-0.2%,-0.3%
"Thu, Jan 8",7:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
"Thu, Jan 8",7:00am,GBP,Medium Impact Expected,Asset Purchase Facility,375B,375B,375B
"Thu, Jan 8",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,6.6%,-20.7%,
"Thu, Jan 8",8:30am,CAD,Medium Impact Expected,NHPI m/m,0.1%,0.2%,0.1%
"Thu, Jan 8",8:30am,USD,High Impact Expected,Unemployment Claims,294K,291K,298K
"Thu, Jan 8",10:30am,USD,Low Impact Expected,Natural Gas Storage,-131B,-120B,-26B
"Thu, Jan 8",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,14.1B,15.1B,16.0B
"Thu, Jan 8",4:45pm,NZD,Medium Impact Expected,Building Consents m/m,10.0%,9.8%,
"Thu, Jan 8",5:30pm,AUD,Low Impact Expected,AIG Construction Index,44.4,45.4,
"Thu, Jan 8",7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.1%,0.3%,0.4%
"Thu, Jan 8",8:30pm,CNY,High Impact Expected,CPI y/y,1.5%,1.5%,1.4%
"Thu, Jan 8",8:30pm,CNY,Medium Impact Expected,PPI y/y,-3.3%,-3.1%,-2.7%
"Fri, Jan 9",12:00am,JPY,Low Impact Expected,Leading Indicators,103.8%,104.9%,104.5%
"Fri, Jan 9",1:45am,CHF,Low Impact Expected,Unemployment Rate,3.2%,3.1%,3.2%
"Fri, Jan 9",2:00am,EUR,Low Impact Expected,German Industrial Production m/m,-0.1%,0.4%,0.6%
"Fri, Jan 9",2:00am,EUR,Low Impact Expected,German Trade Balance,17.7B,19.4B,20.6B
"Fri, Jan 9",2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,-0.3%,0.4%,-0.7%
"Fri, Jan 9",2:45am,EUR,Low Impact Expected,French Trade Balance,-3.2B,-4.5B,-4.3B
"Fri, Jan 9",3:15am,CHF,Medium Impact Expected,CPI m/m,-0.5%,-0.3%,0.0%
"Fri, Jan 9",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.7%,0.4%,-0.7%
"Fri, Jan 9",4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-8.8B,-9.5B,-9.8B
"Fri, Jan 9",4:30am,GBP,Low Impact Expected,Construction Output m/m,-2.0%,1.3%,-1.9%
"Fri, Jan 9",4:30am,GBP,Low Impact Expected,Industrial Production m/m,-0.1%,0.2%,-0.3%
"Fri, Jan 9",8:13am,CAD,Low Impact Expected,Housing Starts,181K,191K,195K
"Fri, Jan 9",8:30am,CAD,High Impact Expected,Building Permits m/m,-13.8%,0.8%,2.1%
"Fri, Jan 9",8:30am,CAD,High Impact Expected,Employment Change,-4.3K,10.3K,-10.7K
"Fri, Jan 9",8:30am,CAD,High Impact Expected,Unemployment Rate,6.6%,6.6%,6.6%
"Fri, Jan 9",8:30am,USD,High Impact Expected,Non-Farm Employment Change,252K,241K,353K
"Fri, Jan 9",8:30am,USD,High Impact Expected,Unemployment Rate,5.6%,5.7%,5.8%
"Fri, Jan 9",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,-0.2%,0.2%,0.2%
"Fri, Jan 9",9:49am,GBP,Medium Impact Expected,NIESR GDP Estimate,0.6%,0.7%,
"Fri, Jan 9",10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.8%,0.4%,0.6%
"Fri, Jan 9",1:20pm,USD,Medium Impact Expected,FOMC Member Lacker Speaks,,,
"Sun, Jan 11",All Day,JPY,Non-Economic,Bank Holiday,,,
"Sun, Jan 11",7:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,1.8%,0.7%,
"Sun, Jan 11",7:30pm,AUD,Medium Impact Expected,Home Loans m/m,-0.7%,1.8%,0.2%
"Mon, Jan 12",10:10am,USD,Low Impact Expected,Labor Market Conditions Index m/m,6.1,5.5,
"Mon, Jan 12",10:30am,CAD,Medium Impact Expected,BOC Business Outlook Survey,,,
"Mon, Jan 12",12:40pm,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
"Mon, Jan 12",6:50pm,JPY,Medium Impact Expected,Current Account,0.91T,0.69T,0.95T
"Mon, Jan 12",6:50pm,JPY,Low Impact Expected,Bank Lending y/y,2.6%,2.7%,
"Mon, Jan 12",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,-0.4%,0.9%,
"Mon, Jan 12",9:00pm,CNY,High Impact Expected,USD-Denominated Trade Balance,49.6B,48.9B,54.5B
"Tue, Jan 13",12:03am,JPY,Low Impact Expected,Economy Watchers Sentiment,45.2,44.3,41.5
"Tue, Jan 13",2:00am,EUR,Low Impact Expected,German WPI m/m,-1.0%,0.2%,-0.7%
"Tue, Jan 13",4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,0.3%,0.1%,0.0%
"Tue, Jan 13",4:30am,GBP,High Impact Expected,CPI y/y,0.5%,0.7%,1.0%
