Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Dec 2",Medium Impact Expected,,,,,,
"Wed, Dec 2",5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.9%,1.1%,1.1%
"Wed, Dec 2",5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,0.1%,0.2%,0.1%
"Wed, Dec 2",5:00am,EUR,Low Impact Expected,PPI m/m,-0.3%,-0.4%,-0.4%
"Wed, Dec 2",8:10am,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
"Wed, Dec 2",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,217K,191K,196K
"Wed, Dec 2",8:30am,USD,Medium Impact Expected,Fed Chair Yellen Speaks,,,
"Wed, Dec 2",8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,2.2%,2.2%,1.6%
"Wed, Dec 2",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,1.8%,1.1%,1.4%
"Wed, Dec 2",9:00am,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
"Wed, Dec 2",10:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Dec 2",10:00am,CAD,High Impact Expected,Overnight Rate,0.50%,0.50%,0.50%
"Wed, Dec 2",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,1.2M,-0.6M,1.0M
"Wed, Dec 2",12:25pm,USD,High Impact Expected,Fed Chair Yellen Speaks,,,
"Wed, Dec 2",2:00pm,USD,Low Impact Expected,Beige Book,,,
"Wed, Dec 2",3:40pm,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
"Wed, Dec 2",5:30pm,AUD,Low Impact Expected,AIG Services Index,48.2,48.9,
"Wed, Dec 2",7:00pm,AUD,Low Impact Expected,HIA New Home Sales m/m,-3.0%,-4.0%,
"Wed, Dec 2",7:30pm,AUD,High Impact Expected,Goods Trade Balance,-3.31B,-2.61B,-2.40B
"Wed, Dec 2",8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,51.2,53.1,52.0
"Thu, Dec 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.7,56.2,55.9
"Thu, Dec 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,53.4,53.9,53.4
"Thu, Dec 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,51.0,51.3,51.3
"Thu, Dec 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,55.6,55.6,55.6
"Thu, Dec 3",4:00am,EUR,Low Impact Expected,Final Services PMI,54.2,54.6,54.6
"Thu, Dec 3",4:30am,GBP,High Impact Expected,Final Services PMI,55.9,55.1,54.9
"Thu, Dec 3",4:56am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.46|2.6,1.75|2.4,
"Thu, Dec 3",5:00am,EUR,Low Impact Expected,French 10-y Bond Auction,0.50|2.3,0.95|2.5,
"Thu, Dec 3",5:00am,EUR,Low Impact Expected,Retail Sales m/m,-0.1%,0.2%,-0.1%
"Thu, Dec 3",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-13.9%,-1.3%,
"Thu, Dec 3",7:45am,EUR,High Impact Expected,Main Refinancing Rate,0.05%,0.05%,0.05%
"Thu, Dec 3",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Dec 3",8:30am,USD,High Impact Expected,Unemployment Claims,269K,269K,260K
"Thu, Dec 3",9:45am,USD,Low Impact Expected,Final Services PMI,56.1,56.5,56.5
"Thu, Dec 3",10:00am,USD,High Impact Expected,Fed Chair Yellen Testifies,,,
"Thu, Dec 3",10:00am,USD,High Impact Expected,ISM Services PMI,55.9,58.1,59.1
"Thu, Dec 3",10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.5%,1.2%,-0.8%
