Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Apr 2",High Impact Expected,,,,,,
"Thu, Apr 2",10:00am,USD,Medium Impact Expected,Factory Orders m/m,0.2%,-0.4%,-0.7%
"Thu, Apr 2",10:30am,USD,Low Impact Expected,Natural Gas Storage,-18B,-9B,12B
"Thu, Apr 2",2:15pm,USD,Low Impact Expected,President Obama Speaks,,,
"Thu, Apr 2",3:45pm,USD,Medium Impact Expected,FOMC Member Brainard Speaks,,,
"Thu, Apr 2",All Day,NZD,Non-Economic,Bank Holiday,,,
"Thu, Apr 2",All Day,AUD,Non-Economic,Bank Holiday,,,
"Thu, Apr 2",9:45pm,CNY,Medium Impact Expected,Caixin Services PMI,52.3,52.0,
"Fri, Apr 3",1:44am,JPY,Medium Impact Expected,Average Cash Earnings y/y,0.5%,0.7%,0.6%
"Fri, Apr 3",All Day,CHF,Non-Economic,Bank Holiday,,,
"Fri, Apr 3",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Fri, Apr 3",All Day,GBP,Non-Economic,Bank Holiday,,,
"Fri, Apr 3",All Day,CAD,Non-Economic,Bank Holiday,,,
"Fri, Apr 3",8:30am,USD,High Impact Expected,Non-Farm Employment Change,126K,246K,264K
"Fri, Apr 3",8:30am,USD,High Impact Expected,Unemployment Rate,5.5%,5.5%,5.5%
"Fri, Apr 3",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.3%,0.2%,0.1%
"Sat, Apr 4",10:00am,NZD,Non-Economic,Daylight Saving Time Shift,,,
"Sat, Apr 4",12:00pm,AUD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Apr 5",All Day,NZD,Non-Economic,Bank Holiday,,,
"Sun, Apr 5",All Day,AUD,Non-Economic,Bank Holiday,,,
"Sun, Apr 5",All Day,CNY,Non-Economic,Bank Holiday,,,
"Mon, Apr 6",1:00am,JPY,Low Impact Expected,Leading Indicators,105.3%,105.2%,105.5%
"Mon, Apr 6",All Day,CHF,Non-Economic,Bank Holiday,,,
"Mon, Apr 6",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Mon, Apr 6",All Day,EUR,Non-Economic,French Bank Holiday,,,
"Mon, Apr 6",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Mon, Apr 6",3:00am,EUR,High Impact Expected,Spanish Unemployment Change,-60.2K,-18.3K,-13.5K
"Mon, Apr 6",All Day,GBP,Non-Economic,Bank Holiday,,,
"Mon, Apr 6",8:30am,USD,High Impact Expected,FOMC Member Dudley Speaks,,,
"Mon, Apr 6",9:45am,USD,Low Impact Expected,Final Services PMI,59.2,58.6,58.6
"Mon, Apr 6",10:00am,CAD,High Impact Expected,Ivey PMI,47.9,51.1,49.7
"Mon, Apr 6",10:00am,USD,High Impact Expected,ISM Services PMI,56.5,56.6,56.9
"Mon, Apr 6",10:00am,USD,Low Impact Expected,Labor Market Conditions Index m/m,-0.3,2.0,
