Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Dec 2",Low Impact Expected,,,,,,
"Fri, Dec 2",,CAD,Medium Impact Expected,Labor Productivity q/q,1.2%,1.1%,-0.2%
"Fri, Dec 2",,USD,High Impact Expected,Average Hourly Earnings m/m,-0.1%,0.2%,0.4%
"Fri, Dec 2",,USD,High Impact Expected,Non-Farm Employment Change,178K,177K,142K
"Fri, Dec 2",,USD,High Impact Expected,Unemployment Rate,4.6%,4.9%,4.9%
"Fri, Dec 2",8:45am,USD,Medium Impact Expected,FOMC Member Brainard Speaks,,,
"Fri, Dec 2",1:00pm,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
"Sun, Dec 4",All Day,EUR,High Impact Expected,Italian Constitution Amendment Vote,No,,
"Sun, Dec 4",5:30pm,AUD,Low Impact Expected,AIG Services Index,51.1,50.5,
"Sun, Dec 4",7:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.1%,0.2%,
"Sun, Dec 4",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.7%,0.7%,
"Sun, Dec 4",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.7%,-1.7%,
"Sun, Dec 4",7:30pm,AUD,Medium Impact Expected,Company Operating Profits q/q,1.0%,3.1%,6.5%
"Sun, Dec 4",7:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,1.7%,1.0%,
"Sun, Dec 4",8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,53.1,52.7,52.4
"Mon, Dec 5",12:00am,JPY,Low Impact Expected,Consumer Confidence,40.9,43.8,42.3
"Mon, Dec 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,55.1,55.1,54.6
"Mon, Dec 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,53.3,51.4,51.0
"Mon, Dec 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,51.6,52.6,52.6
"Mon, Dec 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,55.1,55.0,55.0
"Mon, Dec 5",4:00am,EUR,Low Impact Expected,Final Services PMI,53.8,54.1,54.1
"Mon, Dec 5",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,10.0,14.7,13.1
"Mon, Dec 5",4:30am,GBP,High Impact Expected,Final Services PMI,55.2,54.2,54.5
"Mon, Dec 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,1.1%,0.9%,-0.4%
"Mon, Dec 5",All Day,EUR,Medium Impact Expected,Eurogroup Meetings,,,
"Mon, Dec 5",8:30am,USD,Medium Impact Expected,FOMC Member Dudley Speaks,,,
"Mon, Dec 5",9:00am,EUR,High Impact Expected,ECB President Draghi Speaks,,,
"Mon, Dec 5",9:45am,USD,Low Impact Expected,Final Services PMI,54.6,54.9,54.7
"Mon, Dec 5",10:00am,USD,High Impact Expected,ISM Services PMI,57.2,55.3,54.8
"Mon, Dec 5",10:00am,USD,Low Impact Expected,Labor Market Conditions Index m/m,1.5,1.4,
"Mon, Dec 5",12:00pm,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
"Mon, Dec 5",2:05pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
"Mon, Dec 5",7:00pm,JPY,Low Impact Expected,Average Cash Earnings y/y,0.1%,0.2%,0.0%
"Mon, Dec 5",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,0.6%,1.7%,
"Mon, Dec 5",7:30pm,AUD,Medium Impact Expected,Current Account,-11.4B,-13.6B,-15.9B
"Mon, Dec 5",10:30pm,AUD,High Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Mon, Dec 5",10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Dec 6",2:00am,EUR,Medium Impact Expected,German Factory Orders m/m,4.9%,0.6%,-0.3%
"Tue, Dec 6",3:15am,CHF,Low Impact Expected,CPI m/m,-0.2%,-0.1%,0.1%
"Tue, Dec 6",4:10am,EUR,Low Impact Expected,Retail PMI,48.6,48.6,
"Tue, Dec 6",4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
"Tue, Dec 6",5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.3%,0.3%,0.3%
"Tue, Dec 6",All Day,EUR,Medium Impact Expected,ECOFIN Meetings,,,
"Tue, Dec 6",5:40am,GBP,Low Impact Expected,10-y Bond Auction,1.39|2.0,1.38|2.0,
"Tue, Dec 6",8:30am,CAD,High Impact Expected,Trade Balance,-1.1B,-2.1B,-4.4B
"Tue, Dec 6",8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,3.1%,3.2%,3.1%
"Tue, Dec 6",8:30am,USD,Medium Impact Expected,Trade Balance,-42.6B,-41.5B,-36.2B
"Tue, Dec 6",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,0.7%,0.4%,0.3%
"Tue, Dec 6",9:11am,NZD,High Impact Expected,GDT Price Index,3.5%,4.5%,
"Tue, Dec 6",10:00am,CAD,Medium Impact Expected,Ivey PMI,56.8,59.9,59.7
"Tue, Dec 6",10:00am,USD,Medium Impact Expected,Factory Orders m/m,2.7%,2.5%,0.6%
"Tue, Dec 6",10:00am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,54.8,52.3,51.4
"Tue, Dec 6",5:00pm,NZD,High Impact Expected,RBNZ Gov Wheeler Speaks,,,
"Tue, Dec 6",5:30pm,AUD,Low Impact Expected,AIG Construction Index,46.6,45.9,
"Tue, Dec 6",7:30pm,AUD,High Impact Expected,GDP q/q,-0.5%,0.2%,0.6%
"Wed, Dec 7",12:00am,JPY,Low Impact Expected,Leading Indicators,101.0%,101.6%,100.3%
"Wed, Dec 7",2:00am,EUR,Low Impact Expected,German Industrial Production m/m,0.3%,0.9%,-1.6%
"Wed, Dec 7",2:45am,EUR,Low Impact Expected,French Trade Balance,-5.2B,-4.2B,-4.8B
"Wed, Dec 7",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,648B,630B,
"Wed, Dec 7",3:30am,GBP,Medium Impact Expected,Halifax HPI m/m,0.2%,0.2%,1.5%
"Wed, Dec 7",4:00am,EUR,Low Impact Expected,Italian Quarterly Unemployment Rate,11.6%,11.6%,11.6%
"Wed, Dec 7",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,-0.9%,0.2%,0.6%
"Wed, Dec 7",4:30am,GBP,Low Impact Expected,Industrial Production m/m,-1.3%,0.2%,-0.4%
"Wed, Dec 7",5:33am,GBP,Low Impact Expected,30-y Bond Auction,1.96|1.7,1.49|2.2,
"Wed, Dec 7",9:38am,GBP,Low Impact Expected,NIESR GDP Estimate,0.4%,0.4%,
"Wed, Dec 7",10:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Dec 7",10:00am,CAD,High Impact Expected,Overnight Rate,0.50%,0.50%,0.50%
"Wed, Dec 7",10:00am,USD,Medium Impact Expected,JOLTS Job Openings,5.53M,5.53M,5.63M
"Wed, Dec 7",10:30am,USD,High Impact Expected,Crude Oil Inventories,-2.4M,-1.4M,-0.9M
"Wed, Dec 7",3:00pm,NZD,High Impact Expected,RBNZ Gov Wheeler Speaks,,,
"Wed, Dec 7",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,16.0B,17.5B,21.8B
"Wed, Dec 7",6:50pm,JPY,Medium Impact Expected,Current Account,1.93T,1.57T,1.48T
"Wed, Dec 7",6:50pm,JPY,Medium Impact Expected,Final GDP q/q,0.3%,0.6%,0.5%
"Wed, Dec 7",6:50pm,JPY,Low Impact Expected,Bank Lending y/y,2.4%,2.4%,2.4%
"Wed, Dec 7",6:50pm,JPY,Low Impact Expected,Final GDP Price Index y/y,-0.2%,-0.1%,-0.1%
"Wed, Dec 7",7:01pm,GBP,Low Impact Expected,RICS House Price Balance,30%,26%,23%
"Wed, Dec 7",7:30pm,AUD,Medium Impact Expected,Goods Trade Balance,-1.54B,-0.72B,-1.27B
"Wed, Dec 7",10:41pm,CNY,High Impact Expected,Trade Balance,298B,307B,325B
"Wed, Dec 7",10:45pm,JPY,Low Impact Expected,30-y Bond Auction,0.62|2.9,0.51|3.5,
"Wed, Dec 7",10:54pm,CNY,Low Impact Expected,USD-Denominated Trade Balance,44.6B,46.7B,49.1B
"Thu, Dec 8",12:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,48.6,45.6,46.2
"Thu, Dec 8",1:30am,EUR,Low Impact Expected,French Final Private Payrolls q/q,0.3%,0.3%,0.3%
"Thu, Dec 8",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Thu, Dec 8",7:45am,EUR,High Impact Expected,Main Refinancing Rate,0.00%,0.00%,0.00%
"Thu, Dec 8",7:45am,EUR,High Impact Expected,Monetary Policy Statement,,,
"Thu, Dec 8",8:13am,CAD,Low Impact Expected,Housing Starts,184K,191K,192K
"Thu, Dec 8",8:30am,CAD,Medium Impact Expected,Building Permits m/m,8.7%,1.6%,-4.6%
"Thu, Dec 8",8:30am,CAD,Medium Impact Expected,NHPI m/m,0.4%,0.2%,0.2%
"Thu, Dec 8",8:30am,CAD,Low Impact Expected,Capacity Utilization Rate,81.9%,81.6%,79.7%
"Thu, Dec 8",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Dec 8",8:30am,USD,High Impact Expected,Unemployment Claims,258K,258K,268K
"Thu, Dec 8",10:30am,USD,Low Impact Expected,Natural Gas Storage,-42B,-44B,-50B
"Thu, Dec 8",6:50pm,JPY,Medium Impact Expected,BSI Manufacturing Index,7.5,3.4,2.9
"Thu, Dec 8",6:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,4.0%,3.7%,3.7%
"Thu, Dec 8",7:30pm,AUD,Low Impact Expected,Home Loans m/m,-0.8%,-0.9%,1.5%
"Thu, Dec 8",8:30pm,CNY,Medium Impact Expected,CPI y/y,2.3%,2.2%,2.1%
"Thu, Dec 8",8:30pm,CNY,Medium Impact Expected,PPI y/y,3.3%,2.2%,1.2%
"Fri, Dec 9",1:45am,CHF,Low Impact Expected,Unemployment Rate,3.3%,3.3%,3.3%
"Fri, Dec 9",2:00am,EUR,Low Impact Expected,German Trade Balance,20.5B,20.8B,21.1B
"Fri, Dec 9",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-85.5B,-83.0B,
"Fri, Dec 9",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,-0.2%,0.6%,-1.4%
"Fri, Dec 9",4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-9.7B,-11.9B,-13.8B
"Fri, Dec 9",4:30am,GBP,Low Impact Expected,Construction Output m/m,-0.6%,0.2%,0.9%
"Fri, Dec 9",4:30am,GBP,Low Impact Expected,Consumer Inflation Expectations,2.8%,2.2%,
"Fri, Dec 9",10:00am,USD,High Impact Expected,Prelim UoM Consumer Sentiment,98.0,94.3,93.8
"Fri, Dec 9",10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,-0.4%,-0.4%,-0.4%
"Fri, Dec 9",10:00am,USD,Low Impact Expected,Prelim UoM Inflation Expectations,2.3%,2.4%,
"Sun, Dec 11",4:45pm,NZD,Low Impact Expected,Visitor Arrivals m/m,2.2%,3.9%,
"Sun, Dec 11",6:50pm,JPY,Low Impact Expected,Core Machinery Orders m/m,4.1%,1.3%,-3.3%
"Sun, Dec 11",6:50pm,JPY,Low Impact Expected,PPI y/y,-2.2%,-2.2%,-2.7%
"Sun, Dec 11",7:01pm,GBP,Low Impact Expected,Rightmove HPI m/m,-2.1%,-1.1%,
"Sun, Dec 11",11:30pm,JPY,Low Impact Expected,Tertiary Industry Activity m/m,0.2%,0.3%,-0.3%
"Mon, Dec 12",12:58am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,-5.6%,-8.9%,
"Mon, Dec 12",9:30am,GBP,Low Impact Expected,CB Leading Index m/m,0.1%,0.0%,
"Mon, Dec 12",1:01pm,USD,Low Impact Expected,10-y Bond Auction,2.49|2.4,2.02|2.2,
"Mon, Dec 12",2:00pm,USD,Low Impact Expected,Federal Budget Balance,-136.7B,-99.5B,-44.2B
"Mon, Dec 12",4:45pm,NZD,Low Impact Expected,Manufacturing Sales q/q,0.4%,1.8%,
"Mon, Dec 12",7:30pm,AUD,Medium Impact Expected,HPI q/q,1.5%,2.6%,2.0%
"Mon, Dec 12",7:30pm,AUD,Low Impact Expected,NAB Business Confidence,5,4,
"Mon, Dec 12",9:00pm,CNY,High Impact Expected,Industrial Production y/y,6.2%,6.1%,6.1%
"Mon, Dec 12",9:00pm,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,8.3%,8.3%,8.3%
"Mon, Dec 12",9:00pm,CNY,Low Impact Expected,Retail Sales y/y,10.8%,10.2%,10.0%
"Tue, Dec 13",2:00am,EUR,Low Impact Expected,German Final CPI m/m,0.1%,0.1%,0.1%
"Tue, Dec 13",2:00am,EUR,Low Impact Expected,German WPI m/m,0.1%,0.3%,0.4%
"Tue, Dec 13",4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,0.0%,0.3%,-0.8%
"Tue, Dec 13",4:30am,GBP,High Impact Expected,CPI y/y,1.2%,1.1%,0.9%
"Tue, Dec 13",4:30am,GBP,Medium Impact Expected,PPI Input m/m,-1.1%,-0.4%,4.5%
"Tue, Dec 13",4:30am,GBP,Medium Impact Expected,RPI y/y,2.2%,2.1%,2.0%
"Tue, Dec 13",4:30am,GBP,Low Impact Expected,Core CPI y/y,1.4%,1.3%,1.2%
"Tue, Dec 13",4:30am,GBP,Low Impact Expected,HPI y/y,6.9%,7.3%,7.0%
"Tue, Dec 13",4:30am,GBP,Low Impact Expected,PPI Output m/m,0.0%,0.2%,0.7%
"Tue, Dec 13",5:00am,EUR,Medium Impact Expected,German ZEW Economic Sentiment,13.8,14.2,13.8
"Tue, Dec 13",5:00am,EUR,Low Impact Expected,Final Employment Change q/q,0.2%,0.3%,0.4%
"Tue, Dec 13",5:00am,EUR,Low Impact Expected,ZEW Economic Sentiment,18.1,16.5,15.8
