Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Jan 4",Low Impact Expected,,,,,,
"Mon, Jan 4",,USD,Low Impact Expected,ISM Manufacturing Prices,33.5,36.5,35.5
"Mon, Jan 4",6:50pm,JPY,Low Impact Expected,Monetary Base y/y,29.5%,33.2%,32.5%
"Mon, Jan 4",10:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.25|3.3,0.32|3.6,
"Tue, Jan 5",3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-55.8K,-52.6K,-27.1K
"Tue, Jan 5",3:55am,EUR,Medium Impact Expected,German Unemployment Change,-14K,-7K,-14K
"Tue, Jan 5",4:30am,GBP,High Impact Expected,Construction PMI,57.8,56.1,55.3
"Tue, Jan 5",5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.9%,1.0%,0.9%
"Tue, Jan 5",5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,0.2%,0.4%,0.2%
"Tue, Jan 5",5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.0%,0.1%,-0.4%
"Tue, Jan 5",5:33am,GBP,Low Impact Expected,10-y Bond Auction,1.88|1.6,1.94|1.5,
"Tue, Jan 5",8:30am,CAD,Medium Impact Expected,RMPI m/m,-4.0%,-2.3%,0.0%
"Tue, Jan 5",8:30am,CAD,Low Impact Expected,IPPI m/m,-0.2%,0.1%,-0.5%
"Tue, Jan 5",9:07am,NZD,High Impact Expected,GDT Price Index,-1.6%,1.9%,
"Tue, Jan 5",All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.2M,18.0M,18.0M
"Tue, Jan 5",All Day,USD,Low Impact Expected,Total Vehicle Sales,17.3M,18.1M,18.2M
"Tue, Jan 5",5:30pm,AUD,Low Impact Expected,AIG Services Index,46.3,48.2,
"Tue, Jan 5",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-2.0%,-2.1%,
"Tue, Jan 5",8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,50.2,52.3,51.2
"Wed, Jan 6",All Day,EUR,Non-Economic,Italian Bank Holiday,,,
"Wed, Jan 6",3:15am,EUR,Low Impact Expected,Spanish Services PMI,55.1,56.9,56.7
"Wed, Jan 6",3:45am,EUR,Low Impact Expected,Italian Services PMI,55.3,53.8,53.4
"Wed, Jan 6",3:50am,EUR,Low Impact Expected,French Final Services PMI,49.8,50.0,50.0
"Wed, Jan 6",3:55am,EUR,Low Impact Expected,German Final Services PMI,56.0,55.4,55.4
"Wed, Jan 6",4:00am,EUR,Low Impact Expected,Final Services PMI,54.2,53.9,53.9
"Wed, Jan 6",4:30am,GBP,High Impact Expected,Final Services PMI,55.5,55.6,55.9
"Wed, Jan 6",5:00am,EUR,Low Impact Expected,PPI m/m,-0.2%,-0.2%,-0.3%
"Wed, Jan 6",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,257K,193K,211K
"Wed, Jan 6",8:30am,CAD,High Impact Expected,Trade Balance,-2.0B,-2.6B,-2.5B
"Wed, Jan 6",8:30am,USD,High Impact Expected,Trade Balance,-42.4B,-44.0B,-44.6B
"Wed, Jan 6",9:45am,USD,Low Impact Expected,Final Services PMI,54.3,55.1,53.7
"Wed, Jan 6",10:00am,USD,High Impact Expected,ISM Services PMI,55.3,56.0,55.9
"Wed, Jan 6",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-0.2%,-0.2%,1.3%
"Wed, Jan 6",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-5.1M,0.7M,2.6M
"Wed, Jan 6",2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Wed, Jan 6",7:30pm,AUD,High Impact Expected,Building Approvals m/m,-12.7%,-2.8%,3.3%
