Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Sep 2",Low Impact Expected,,,,,,
"Fri, Sep 2",10:00am,USD,Medium Impact Expected,Factory Orders m/m,1.9%,2.1%,-1.8%
"Sat, Sep 3",6:55am,USD,Low Impact Expected,Final Services PMI,51.0,51.2,50.9
"Sun, Sep 4",All Day,All,Medium Impact Expected,G20 Meetings,,,
"Sun, Sep 4",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-2.0%,-1.6%,
"Sun, Sep 4",7:30pm,AUD,Low Impact Expected,AIG Services Index,45.0,53.9,
"Sun, Sep 4",8:00pm,JPY,Low Impact Expected,Average Cash Earnings y/y,1.4%,0.5%,1.4%
"Sun, Sep 4",9:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.2%,-0.3%,
"Sun, Sep 4",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,3.2%,2.1%,
"Sun, Sep 4",9:30pm,AUD,Medium Impact Expected,Company Operating Profits q/q,6.9%,2.1%,-4.4%
"Sun, Sep 4",9:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,1.8%,-0.8%,
"Sun, Sep 4",9:45pm,CNY,Medium Impact Expected,Caixin Services PMI,52.1,51.9,51.7
"Sun, Sep 4",10:30pm,JPY,High Impact Expected,BOJ Gov Kuroda Speaks,,,
"Mon, Sep 5",All Day,All,Medium Impact Expected,G20 Meetings,,,
"Mon, Sep 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.0,55.1,54.1
"Mon, Sep 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,52.3,51.8,52.0
"Mon, Sep 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,52.3,52.0,52.0
"Mon, Sep 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,51.7,53.3,53.3
"Mon, Sep 5",4:00am,EUR,Low Impact Expected,Final Services PMI,52.8,53.1,53.1
"Mon, Sep 5",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,5.6,5.1,4.2
"Mon, Sep 5",4:30am,GBP,High Impact Expected,Final Services PMI,52.9,49.1,47.4
"Mon, Sep 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,1.1%,0.5%,-0.1%
"Mon, Sep 5",All Day,CAD,Non-Economic,Bank Holiday,,,
"Mon, Sep 5",All Day,USD,Non-Economic,Bank Holiday,,,
"Mon, Sep 5",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,-0.9%,1.1%,
"Mon, Sep 5",9:30pm,AUD,Medium Impact Expected,Current Account,-15.5B,-20.2B,-14.9B
"Mon, Sep 5",11:45pm,JPY,Low Impact Expected,30-y Bond Auction,0.50|3.1,0.42|3.1,
"Tue, Sep 6",12:30am,AUD,High Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Tue, Sep 6",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
