Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Dec 2",Medium Impact Expected,,,,,,
"Fri, Dec 2",,USD,Medium Impact Expected,Average Hourly Earnings m/m,-0.1%,0.2%,0.3%
"Fri, Dec 2",9:00am,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
"Fri, Dec 2",10:00am,USD,Medium Impact Expected,FOMC Member Plosser Speaks,,,
"Fri, Dec 2",8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,49.7,57.7,
"Sun, Dec 4",5:22pm,AUD,Medium Impact Expected,AIG Services Index,47.7,48.8,
"Sun, Dec 4",6:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,-0.1%,0.1%,
"Sun, Dec 4",7:30pm,AUD,High Impact Expected,ANZ Job Advertisements m/m,0.0%,-0.6%,
"Sun, Dec 4",7:30pm,AUD,Medium Impact Expected,Company Operating Profits q/q,4.8%,3.1%,7.3%
"Sun, Dec 4",9:30pm,CNY,Low Impact Expected,Caixin Services PMI,52.5,54.1,
"Mon, Dec 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,36.8,41.8,
"Mon, Dec 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,45.8,44.1,43.9
"Mon, Dec 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,49.6,49.3,49.3
"Mon, Dec 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,50.3,51.4,51.4
"Mon, Dec 5",4:00am,EUR,Low Impact Expected,Final Services PMI,47.5,47.8,47.8
"Mon, Dec 5",4:30am,EUR,Medium Impact Expected,Sentix Investor Confidence,-24.0,-21.4,-21.2
"Mon, Dec 5",4:30am,GBP,High Impact Expected,Final Services PMI,52.1,50.6,51.3
"Mon, Dec 5",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.4%,0.2%,-0.6%
"Mon, Dec 5",10:00am,USD,High Impact Expected,ISM Services PMI,52.0,53.6,52.9
"Mon, Dec 5",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-0.4%,-0.2%,-0.1%
"Mon, Dec 5",12:10pm,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
"Mon, Dec 5",7:00pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,-1.6%,-0.6%,
"Mon, Dec 5",7:30pm,AUD,Medium Impact Expected,Current Account,-5.6B,-5.5B,-6.7B
"Mon, Dec 5",10:30pm,AUD,High Impact Expected,Cash Rate,4.25%,4.25%,4.50%
"Mon, Dec 5",10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Dec 6",3:00am,CHF,High Impact Expected,Foreign Currency Reserves,229B,245B,
"Tue, Dec 6",3:00am,GBP,High Impact Expected,Halifax HPI m/m,-0.9%,-0.6%,1.2%
"Tue, Dec 6",3:15am,CHF,High Impact Expected,CPI m/m,-0.2%,0.1%,-0.1%
"Tue, Dec 6",4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
