Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Dec 1",Low Impact Expected,,,,,,
"Thu, Dec 1",All Day,Low Impact Expected,Wards Total Vehicle Sales,,,,
"Thu, Dec 1",10:30am,USD,Low Impact Expected,Natural Gas Storage,-81B,-82B,-80B
"Thu, Dec 1",3:00pm,USD,Low Impact Expected,FOMC Member Barr Speaks,,,
"Thu, Dec 1",4:45pm,NZD,Low Impact Expected,Overseas Trade Index q/q,-3.4%,0.4%,-2.3%
"Thu, Dec 1",6:50pm,JPY,Low Impact Expected,Monetary Base y/y,-6.4%,-4.5%,-6.9%
"Thu, Dec 1",8:30pm,JPY,Medium Impact Expected,BOJ Gov Kuroda Speaks,,,
"Thu, Dec 1",9:40pm,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,
"Thu, Dec 1",9:40pm,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
"Thu, Dec 1",11:30pm,NZD,High Impact Expected,RBNZ Gov Orr Speaks,,,
"Fri, Dec 2",2:00am,EUR,Low Impact Expected,German Import Prices m/m,-1.2%,-1.9%,-0.9%
"Fri, Dec 2",2:00am,EUR,Low Impact Expected,German Trade Balance,6.9B,5.3B,2.8B
"Fri, Dec 2",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-143.2B,-146.6B,
"Fri, Dec 2",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,-2.6%,0.0%,-0.9%
"Fri, Dec 2",3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-33.5K,-20.3K,-27.0K
"Fri, Dec 2",5:00am,EUR,Low Impact Expected,PPI m/m,-2.9%,-2.0%,1.6%
"Fri, Dec 2",8:30am,CAD,High Impact Expected,Employment Change,10.1K,10.5K,108.3K
"Fri, Dec 2",8:30am,CAD,High Impact Expected,Unemployment Rate,5.1%,5.3%,5.2%
"Fri, Dec 2",8:30am,EUR,Low Impact Expected,German Buba President Nagel Speaks,,,
"Fri, Dec 2",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.6%,0.3%,0.5%
"Fri, Dec 2",8:30am,USD,High Impact Expected,Non-Farm Employment Change,263K,200K,284K
"Fri, Dec 2",8:30am,USD,High Impact Expected,Unemployment Rate,3.7%,3.7%,3.7%
"Sun, Dec 4",All Day,All,Medium Impact Expected,OPEC-JMMC Meetings,,,
"Sun, Dec 4",4:30pm,AUD,Low Impact Expected,AIG Construction Index,48.2,43.3,
"Sun, Dec 4",7:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,1.0%,0.4%,
"Sun, Dec 4",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-3.9%,-3.4%,
"Sun, Dec 4",7:30pm,AUD,Low Impact Expected,Company Operating Profits q/q,-12.4%,-1.5%,7.8%
"Sun, Dec 4",8:45pm,CNY,Low Impact Expected,Caixin Services PMI,46.7,48.0,48.4
"Sun, Dec 4",8:45pm,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
"Mon, Dec 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,51.2,50.6,49.7
