Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Apr 4",Low Impact Expected,,,,,,
Medium Impact Expected,BOE Gov Bailey Speaks,,,,,,
"Mon, Apr 4",All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
"Mon, Apr 4",8:30am,CAD,Low Impact Expected,Building Permits m/m,21.0%,6.9%,-8.2%
"Mon, Apr 4",10:00am,GBP,Low Impact Expected,MPC Member Cunliffe Speaks,,,
"Mon, Apr 4",10:00am,USD,Low Impact Expected,Factory Orders m/m,-0.5%,-0.5%,1.5%
"Mon, Apr 4",10:30am,CAD,Medium Impact Expected,BOC Business Outlook Survey,,,
"Mon, Apr 4",6:30pm,AUD,Low Impact Expected,AIG Construction Index,56.5,53.4,
"Mon, Apr 4",7:30pm,JPY,Low Impact Expected,Average Cash Earnings y/y,1.2%,0.6%,1.1%
"Mon, Apr 4",7:30pm,JPY,Low Impact Expected,Household Spending y/y,1.1%,2.8%,6.9%
"Mon, Apr 4",All Day,CNY,Non-Economic,Bank Holiday,,,
"Mon, Apr 4",11:35pm,JPY,Low Impact Expected,10-y Bond Auction,0.20|3.6,0.18|3.2,
"Tue, Apr 5",12:30am,AUD,High Impact Expected,Cash Rate,0.10%,0.10%,0.10%
"Tue, Apr 5",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Apr 5",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,-0.9%,-0.4%,1.8%
"Tue, Apr 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,53.4,54.2,56.6
"Tue, Apr 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,52.1,51.6,52.8
"Tue, Apr 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,57.4,57.4,57.4
"Tue, Apr 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,56.1,55.0,55.0
"Tue, Apr 5",4:00am,EUR,Low Impact Expected,Final Services PMI,55.6,54.8,54.8
"Tue, Apr 5",4:30am,GBP,Low Impact Expected,Final Services PMI,62.6,60.9,61.0
"Tue, Apr 5",4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-12.1B,1.4B,-6.7B
"Tue, Apr 5",All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
"Tue, Apr 5",8:30am,CAD,Low Impact Expected,Trade Balance,2.7B,2.9B,3.1B
"Tue, Apr 5",8:30am,USD,Low Impact Expected,Trade Balance,-89.2B,-88.5B,-89.2B
"Tue, Apr 5",9:45am,USD,Low Impact Expected,Final Services PMI,58.0,58.9,58.9
"Tue, Apr 5",10:00am,USD,High Impact Expected,ISM Services PMI,58.3,58.6,56.5
"Tue, Apr 5",10:05am,USD,Medium Impact Expected,FOMC Member Brainard Speaks,,,
"Tue, Apr 5",10:45am,NZD,Low Impact Expected,GDT Price Index,-1.0%,-0.9%,
"Tue, Apr 5",2:00pm,USD,Low Impact Expected,FOMC Member Williams Speaks,,,
"Tue, Apr 5",9:08pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,3.9%,3.9%,
"Tue, Apr 5",9:45pm,CNY,Low Impact Expected,Caixin Services PMI,42.0,49.6,50.2
"Wed, Apr 6",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-2.2%,-0.2%,2.3%
"Wed, Apr 6",2:05am,AUD,Low Impact Expected,RBA Gov Bullock Speaks,,,
"Wed, Apr 6",4:30am,GBP,Low Impact Expected,Construction PMI,59.1,58.0,59.1
"Wed, Apr 6",5:00am,EUR,Low Impact Expected,PPI m/m,1.1%,1.2%,5.1%
"Wed, Apr 6",10:00am,CAD,Medium Impact Expected,Ivey PMI,74.2,62.3,60.6
"Wed, Apr 6",10:00am,USD,Medium Impact Expected,Treasury Sec Yellen Speaks,,,
"Wed, Apr 6",10:30am,USD,Low Impact Expected,Crude Oil Inventories,2.4M,-2.9M,-3.4M
"Wed, Apr 6",2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Wed, Apr 6",6:30pm,AUD,Low Impact Expected,AIG Services Index,56.2,60.0,
"Wed, Apr 6",9:30pm,AUD,Low Impact Expected,Goods Trade Balance,7.46B,11.70B,11.79B
