Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Dec 2",Low Impact Expected,,,,,,
"Thu, Dec 2",3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-74.4K,5.3K,-0.7K
"Thu, Dec 2",4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,9.4%,9.1%,9.2%
"Thu, Dec 2",4:47am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,0.39|2.1,0.47|1.4,
"Thu, Dec 2",5:00am,EUR,Low Impact Expected,PPI m/m,5.4%,3.6%,2.8%
"Thu, Dec 2",5:00am,EUR,Low Impact Expected,Unemployment Rate,7.3%,7.3%,7.4%
"Thu, Dec 2",5:02am,EUR,Low Impact Expected,French 10-y Bond Auction,-0.19|2.7,0.16|1.8,
"Thu, Dec 2",All Day,All,High Impact Expected,OPEC-JMMC Meetings,,,
"Thu, Dec 2",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-77.0%,-71.7%,
"Thu, Dec 2",8:30am,USD,Medium Impact Expected,Unemployment Claims,222K,238K,194K
"Thu, Dec 2",8:30am,USD,Low Impact Expected,FOMC Member Bostic Speaks,,,
"Thu, Dec 2",9:00am,USD,Medium Impact Expected,Treasury Sec Yellen Speaks,,,
"Thu, Dec 2",10:30am,USD,Low Impact Expected,Natural Gas Storage,-59B,-59B,-21B
"Thu, Dec 2",11:00am,USD,Low Impact Expected,FOMC Member Quarles Speaks,,,
"Thu, Dec 2",11:30am,USD,Medium Impact Expected,FOMC Member Barkin Speaks,,,
"Thu, Dec 2",11:30am,USD,Low Impact Expected,FOMC Member Bostic Speaks,,,
"Thu, Dec 2",11:30am,USD,Low Impact Expected,FOMC Member Daly Speaks,,,
"Thu, Dec 2",4:30pm,AUD,Low Impact Expected,AIG Construction Index,57.0,57.6,
"Thu, Dec 2",8:45pm,CNY,Low Impact Expected,Caixin Services PMI,52.1,52.6,53.8
"Fri, Dec 3",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-171.6B,-175.1B,
"Fri, Dec 3",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,0.9%,0.7%,-1.5%
"Fri, Dec 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,59.8,58.6,56.6
"Fri, Dec 3",3:30am,EUR,Medium Impact Expected,ECB President Lagarde Speaks,,,
"Fri, Dec 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,55.9,54.6,52.4
"Fri, Dec 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,57.4,58.2,58.2
"Fri, Dec 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,52.7,53.4,53.4
"Fri, Dec 3",4:00am,EUR,Low Impact Expected,Final Services PMI,55.9,56.6,56.6
"Fri, Dec 3",4:30am,GBP,Low Impact Expected,Final Services PMI,58.5,58.6,58.6
"Fri, Dec 3",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.2%,0.3%,-0.4%
"Fri, Dec 3",6:00am,GBP,High Impact Expected,MPC Member Saunders Speaks,,,
"Fri, Dec 3",8:30am,CAD,High Impact Expected,Employment Change,153.7K,36.5K,31.2K
"Fri, Dec 3",8:30am,CAD,High Impact Expected,Unemployment Rate,6.0%,6.6%,6.7%
"Fri, Dec 3",8:30am,CAD,Low Impact Expected,Labor Productivity q/q,-1.5%,-0.7%,0.0%
"Fri, Dec 3",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.4%,0.4%
"Fri, Dec 3",8:30am,USD,High Impact Expected,Non-Farm Employment Change,210K,553K,546K
"Fri, Dec 3",8:30am,USD,High Impact Expected,Unemployment Rate,4.2%,4.5%,4.6%
"Fri, Dec 3",9:00am,USD,High Impact Expected,Treasury Currency Report,,,
"Fri, Dec 3",9:45am,USD,Low Impact Expected,Final Services PMI,58.0,57.0,57.0
"Fri, Dec 3",10:00am,USD,High Impact Expected,ISM Services PMI,69.1,64.9,66.7
"Fri, Dec 3",10:00am,USD,Low Impact Expected,Factory Orders m/m,1.0%,0.5%,0.5%
"Sun, Dec 5",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.8%,2.2%,
"Sun, Dec 5",7:04pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,0.2%,
"Sun, Dec 5",7:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,7.4%,7.5%,
"Mon, Dec 6",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-6.9%,-0.2%,1.8%
"Mon, Dec 6",4:00am,EUR,Low Impact Expected,Italian Retail Sales m/m,0.1%,0.4%,1.0%
"Mon, Dec 6",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,13.5,14.5,18.3
"Mon, Dec 6",4:30am,GBP,Low Impact Expected,Construction PMI,55.5,54.9,54.6
"Mon, Dec 6",All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
"Mon, Dec 6",6:30am,GBP,High Impact Expected,MPC Member Broadbent Speaks,,,
"Mon, Dec 6",4:30pm,AUD,Low Impact Expected,AIG Services Index,49.6,47.6,
"Mon, Dec 6",6:30pm,JPY,Low Impact Expected,Average Cash Earnings y/y,0.2%,0.4%,0.2%
"Mon, Dec 6",6:30pm,JPY,Low Impact Expected,Household Spending y/y,-0.6%,-0.6%,-1.9%
"Mon, Dec 6",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,1.8%,0.3%,-0.2%
"Mon, Dec 6",7:30pm,AUD,Low Impact Expected,HPI q/q,5.0%,5.1%,6.7%
"Mon, Dec 6",10:01pm,CNY,Low Impact Expected,USD-Denominated Trade Balance,71.7B,83.2B,84.5B
"Mon, Dec 6",10:02pm,CNY,Medium Impact Expected,Trade Balance,461B,583B,546B
