Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Mon, Dec 3",Low Impact Expected,,,,,,
"Mon, Dec 3",,AUD,Medium Impact Expected,Current Account,-14.9B,-14.7B,-12.4B
"Mon, Dec 3",8:30pm,JPY,Medium Impact Expected,Average Cash Earnings y/y,0.2%,0.4%,-0.5%
"Mon, Dec 3",10:30pm,AUD,High Impact Expected,Cash Rate,3.00%,3.00%,3.25%
"Mon, Dec 3",10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
"Mon, Dec 3",10:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.73|3.8,0.78|4.1,
"Tue, Dec 4",3:00am,EUR,High Impact Expected,Spanish Unemployment Change,74.3K,90.0K,128.2K
"Tue, Dec 4",All Day,EUR,Medium Impact Expected,ECOFIN Meetings,,,
"Tue, Dec 4",4:30am,GBP,High Impact Expected,Construction PMI,49.3,50.7,50.9
"Tue, Dec 4",4:30am,GBP,Low Impact Expected,FPC Meeting Minutes,,,
"Tue, Dec 4",5:00am,EUR,Low Impact Expected,PPI m/m,0.1%,0.0%,0.2%
"Tue, Dec 4",8:30am,NZD,Low Impact Expected,GDT Price Index,-2.1%,-0.8%,
"Tue, Dec 4",9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Tue, Dec 4",9:00am,CAD,High Impact Expected,Overnight Rate,1.00%,1.00%,1.00%
"Tue, Dec 4",10:45am,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
"Tue, Dec 4",5:24pm,AUD,Medium Impact Expected,AIG Services Index,47.1,42.8,
"Tue, Dec 4",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.5%,1.5%,
"Tue, Dec 4",7:30pm,AUD,High Impact Expected,GDP q/q,0.5%,0.6%,0.6%
"Tue, Dec 4",8:45pm,CNY,Low Impact Expected,Caixin Services PMI,52.1,53.5,
"Wed, Dec 5",3:15am,EUR,Medium Impact Expected,Spanish Services PMI,42.4,41.0,41.2
"Wed, Dec 5",3:45am,EUR,Medium Impact Expected,Italian Services PMI,44.6,46.0,46.0
"Wed, Dec 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,45.8,46.1,46.1
"Wed, Dec 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,49.7,48.0,48.0
"Wed, Dec 5",4:00am,EUR,Low Impact Expected,Final Services PMI,46.7,45.7,45.7
"Wed, Dec 5",4:20am,AUD,Medium Impact Expected,RBA Deputy Gov Lowe Speaks,,,
"Wed, Dec 5",4:30am,GBP,High Impact Expected,Final Services PMI,50.2,51.1,50.6
"Wed, Dec 5",4:45am,EUR,Medium Impact Expected,Spanish 10-y Bond Auction,5.29|2.3,5.52|1.8,
"Wed, Dec 5",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-1.2%,-0.1%,-0.6%
"Wed, Dec 5",7:30am,GBP,High Impact Expected,Autumn Forecast Statement,,,
"Wed, Dec 5",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,118K,129K,157K
"Wed, Dec 5",8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,2.9%,2.7%,1.9%
"Wed, Dec 5",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,-1.9%,-0.9%,-0.1%
"Wed, Dec 5",10:00am,USD,High Impact Expected,ISM Services PMI,54.7,53.6,54.2
"Wed, Dec 5",10:00am,USD,Medium Impact Expected,Factory Orders m/m,0.8%,0.0%,4.5%
"Wed, Dec 5",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-2.4M,-0.4M,-0.3M
"Wed, Dec 5",3:00pm,NZD,High Impact Expected,Official Cash Rate,2.50%,2.50%,2.50%
"Wed, Dec 5",3:00pm,NZD,High Impact Expected,RBNZ Press Conference,,,
"Wed, Dec 5",3:00pm,NZD,High Impact Expected,RBNZ Rate Statement,,,
"Wed, Dec 5",3:00pm,NZD,Medium Impact Expected,RBNZ Monetary Policy Statement,,,
"Wed, Dec 5",6:00pm,AUD,Medium Impact Expected,RBA Deputy Gov Debelle Speaks,,,
"Wed, Dec 5",7:30pm,AUD,High Impact Expected,Employment Change,13.9K,0.2K,10.2K
"Wed, Dec 5",7:30pm,AUD,High Impact Expected,Unemployment Rate,5.2%,5.5%,5.4%
"Wed, Dec 5",10:45pm,JPY,Low Impact Expected,30-y Bond Auction,1.93|4.1,1.93|5.1,
"Thu, Dec 6",1:45am,CHF,Low Impact Expected,Unemployment Rate,3.0%,3.0%,3.0%
"Thu, Dec 6",3:00am,GBP,Medium Impact Expected,Halifax HPI m/m,1.0%,0.2%,-0.1%
"Thu, Dec 6",3:15am,CHF,High Impact Expected,CPI m/m,-0.3%,0.0%,0.1%
"Thu, Dec 6",4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-9.5B,-8.7B,-8.4B
"Thu, Dec 6",5:00am,EUR,Low Impact Expected,Revised GDP q/q,-0.1%,-0.1%,-0.1%
"Thu, Dec 6",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,3.9%,0.9%,-2.4%
"Thu, Dec 6",7:00am,GBP,High Impact Expected,Asset Purchase Facility,375B,375B,375B
"Thu, Dec 6",7:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
"Thu, Dec 6",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,34.4%,11.6%,
"Thu, Dec 6",7:45am,EUR,High Impact Expected,Main Refinancing Rate,0.75%,0.75%,0.75%
"Thu, Dec 6",8:30am,CAD,High Impact Expected,Building Permits m/m,15.0%,2.3%,-12.7%
"Thu, Dec 6",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Dec 6",8:30am,USD,High Impact Expected,Unemployment Claims,370K,378K,395K
"Thu, Dec 6",10:00am,CAD,High Impact Expected,Ivey PMI,47.5,58.8,58.3
"Thu, Dec 6",10:30am,CAD,Low Impact Expected,BOC Financial System Review,,,
"Thu, Dec 6",10:30am,USD,Low Impact Expected,Natural Gas Storage,-73B,-70B,4B
"Thu, Dec 6",5:30pm,AUD,Low Impact Expected,AIG Construction Index,37.0,35.8,
"Thu, Dec 6",7:30pm,AUD,High Impact Expected,Goods Trade Balance,-2.09B,-2.15B,-1.42B
"Fri, Dec 7",12:00am,JPY,Low Impact Expected,Leading Indicators,92.5%,92.0%,91.6%
"Fri, Dec 7",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-94.6B,-85.0B,
"Fri, Dec 7",2:45am,EUR,Low Impact Expected,French Trade Balance,-4.7B,-4.9B,-5.0B
"Fri, Dec 7",3:00am,CHF,High Impact Expected,Foreign Currency Reserves,425B,427B,
"Fri, Dec 7",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,-1.3%,-0.2%,0.0%
"Fri, Dec 7",4:30am,GBP,Medium Impact Expected,Consumer Inflation Expectations,3.5%,3.2%,
"Fri, Dec 7",4:30am,GBP,Low Impact Expected,Industrial Production m/m,-0.8%,0.9%,-2.1%
"Fri, Dec 7",5:00am,EUR,High Impact Expected,ECB President Draghi Speaks,,,
"Fri, Dec 7",6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,-2.6%,-0.4%,-1.3%
"Fri, Dec 7",8:30am,CAD,High Impact Expected,Employment Change,59.3K,11.3K,1.8K
